NUMERODOSSIER;iddebiteur
13638920;8985
13638959;8986
13639028;8987
13639049;8988
13639051;8989
13639075;8990
13639115;8991
13639134;8992
13639171;8993
13639268;8994
13639290;8995
13639315;8996
13639349;8997
13639367;8998
13639405;8999
13639467;9000
13639470;9001
13639515;9002
13639523;9003
13639530;9004
13639542;9005
13639552;9006
13639611;9007
13639619;9008
13639625;9009
13639659;9010
13639676;9011
13639682;9012
13640043;9013
13640191;9014
13640223;9015
13640231;9016
13640243;9017
13640305;9018
13640379;9019
13640386;9020
13640388;9021
13640405;9022
13640437;9023
13640520;9024
13640546;9025
13640582;9026
13640622;9027
13640665;9028
13640690;9029
13640703;9030
13640740;9031
13640754;9032
13640813;9033
13640822;9034
13640868;9035
13640949;9036
13641014;9037
13641018;9038
13641040;9039
13641053;9040
13641086;9041
13641102;9042
13641131;9043
13641195;9044
13641261;9045
13641274;9046
13641285;9047
13641343;9048
13641374;9049
13641379;9050
13641404;9051
13641437;9052
13641519;9053
13641559;9054
13641632;9055
13641668;9056
13641725;9057
13641828;9058
13641843;9059
13641846;9060
13641864;9061
13641902;9062
13641965;9063
13641976;9064
13641992;9065
13641994;9066
13642040;9067
13642049;9068
13642133;9069
13642163;9070
13642173;9071
13642195;9072
13642251;9073
13642282;9074
13642353;9075
13642401;9076
13642406;9077
13642426;9078
13642440;9079
13642513;9080
13642609;9081
13642623;9082
13642635;9083
13642646;9084
13642697;9085
13642709;9086
13642742;9087
13642754;9088
13642873;9089
13642912;9090
13643045;9091
13643102;9092
13643133;9093
13643202;9094
13643213;9095
13643338;9096
13643340;9097
13643444;9098
13643445;9099
13643457;9100
13643520;9101
13643521;9102
13643528;9103
13643548;9104
13643573;9105
13643615;9106
13643634;9107
13643641;9108
13643646;9109
13643683;9110
13643711;9111
13643717;9112
13643722;9113
13643983;9114
13644021;9115
13644044;9116
13644054;9117
13644082;9118
13644094;9119
13644136;9120
13644144;9121
13644180;9122
13644256;9123
13644318;9124
13644325;9125
13644356;9126
13644408;9127
13644426;9128
13644450;9129
13644606;9130
13644608;9131
13644671;9132
13644676;9133
13644762;9134
13644781;9135
13644886;9136
13644889;9137
13644921;9138
13644947;9139
13644990;9140
13644999;9141
13645028;9142
13645038;9143
13645043;9144
13645123;9145
13645141;9146
13645207;9147
13645222;9148
13645224;9149
13645252;9150
13645318;9151
13645328;9152
13645388;9153
13645420;9154
13645541;9155
13645608;9156
13645620;9157
13645698;9158
13645704;9159
13645772;9160
13645796;9161
13645800;9162
13645831;9163
13645887;9164
13645906;9165
13645930;9166
13645938;9167
13646060;9168
13646063;9169
13646123;9170
13646133;9171
13646142;9172
13646145;9173
13646158;9174
13646163;9175
13646167;9176
13646186;9177
13646196;9178
13646205;9179
13646229;9180
13646236;9181
13646363;9182
13646431;9183
13646493;9184
13646610;9185
13646757;9186
13646766;9187
13646794;9188
13646812;9189
13646885;9190
13646913;9191
13646943;9192
13646962;9193
13646998;9194
13647031;9195
13647059;9196
13647114;9197
13647118;9198
13647177;9199
13647192;9200
13647226;9201
13647236;9202
13647249;9203
13647276;9204
13647454;9205
13647466;9206
13647483;9207
13647486;9208
13647509;9209
13647532;9210
13647575;9211
13647576;9212
13647605;9213
13647612;9214
13647626;9215
13647644;9216
13647684;9217
13647701;9218
13647758;9219
13647776;9220
13647811;9221
13647868;9222
13647871;9223
13647878;9224
13647999;9225
13648002;9226
13648021;9227
13648045;9228
13648076;9229
13648111;9230
13648115;9231
13648286;9232
13648351;9233
13648357;9234
13648393;9235
13648394;9236
13648410;9237
13648447;9238
13648459;9239
13648461;9240
13648474;9241
13648478;9242
13648493;9243
13648502;9244
13648539;9245
13648541;9246
13648569;9247
13648606;9248
13648617;9249
13648641;9250
13648737;9251
13648745;9252
13648867;9253
13648868;9254
13648913;9255
13648946;9256
13648968;9257
13648973;9258
13648991;9259
13649026;9260
13649041;9261
13649044;9262
13649077;9263
13649137;9264
13649367;9265
13649391;9266
13649418;9267
13649433;9268
13649483;9269
13649489;9270
13649494;9271
13649520;9272
13649552;9273
13649580;9274
13649648;9275
13649662;9276
13649664;9277
13649737;9278
13649882;9279
13649910;9280
13649911;9281
13649964;9282
13649971;9283
13650038;9284
13650137;9285
13650156;9286
13650159;9287
13650262;9288
13650327;9289
13650362;9290
13650376;9291
13650416;9292
13650456;9293
13650500;9294
13650525;9295
13650565;9296
